bib_record_number,item_barcode,book_title,call_number,lent_out,page,call_num_comp,call_num_comp_trim
000185078,05352137,城乡一体化：成都的科学发展之路 :成都推进城乡一体化建设社会主义新农,F299.27711/4212,FALSE,352,F.29927711          :..                  /9999/04212/               ,F.29927711          :..                 
000185078,05394413,城乡一体化：成都的科学发展之路 :成都推进城乡一体化建设社会主义新农,F299.27711/4212,FALSE,352,F.29927711          :..                  /9999/04212/               ,F.29927711          :..                 
000185078,05406612,城乡一体化：成都的科学发展之路 :成都推进城乡一体化建设社会主义新农,F299.27711/4212,FALSE,352,F.29927711          :..                  /9999/04212/               ,F.29927711          :..                 
000228042,05489606,城乡一体化信息服务体系建设与发展战略研究,F299.27711/4212/T21,FALSE,246,F.29927711          :..                  /9999/04212/T21            ,F.29927711          :..                 
000154568,05508810,成都：现实与未来,F299.277.11/4330,FALSE,430,F.29927711          :..                  /9999/04330/               ,F.29927711          :..                 
000107135,05411280,走向全面小康 :成都城市化·现代化研究,F299.27711/6796,FALSE,278,F.29927711          :..                  /9999/06796/               ,F.29927711          :..                 
000107135,05411281,走向全面小康 :成都城市化·现代化研究,F299.27711/6796,FALSE,278,F.29927711          :..                  /9999/06796/               ,F.29927711          :..                 
000146555,05494930,成都城市特色塑造,F299.27711/8042,FALSE,201,F.29927711          :..                  /9999/08042/               ,F.29927711          :..                 
000533414,05568294,重庆市市政环卫建设志,F299.27713/2000,FALSE,285,F.29927713          :..                  /9999/02000/               ,F.29927713          :..                 
000146578,05285151,四川藏区城镇化与文化变迁 :以德格县更庆镇为个案,F299.27715/4442,FALSE,298,F.29927715          :..                  /9999/04442/               ,F.29927715          :..                 
000146578,05314809,四川藏区城镇化与文化变迁 :以德格县更庆镇为个案,F299.27715/4442,FALSE,298,F.29927715          :..                  /9999/04442/               ,F.29927715          :..                 
000400747,05907682,聂家村调查报告 :从重庆市合川区聂家村调研看统筹城乡发展需深入思考的,F299.27719/1041,FALSE,219,F.29927719          :..                  /9999/01041/               ,F.29927719          :..                 
